Name	Affiliation	Creator	Producer	RelatedPerson	ReleaseManager	ORCID	Notes
"Butler, Paul"	National Institute of Standards and Technology	x				0000-0002-5978-4714	None
"Crake-Merani, James Akbar"	ISIS Neutron and Muon Source	x				0009-0003-1736-5567	None
"Henson, Summer"	Oak Ridge National Laboratory	x				0009-0000-2299-5457	None
"Hewins, Ellis"	ISIS Neutron and Muon Source	x					None
"Honecker, Dirk"	ISIS Neutron and Muon Source	x					None
"Jackson, Andrew"	European Spallation Source	x				0000-0002-6296-0336	None
"Kienzle, Paul"	National Institute of Standards and Technology	x				0000-0002-7893-0318	None
"King, Stephen"	ISIS Neutron and Muon Source	x	x			0000-0003-3386-9151	None
"Krzywon, Jeff"	National Institute of Standards and Technology	x	x			0000-0002-2380-4090	None
"Prescott, Stuart"	University of New South Wales	x				0000-0001-5639-9688	None
"Rooks, Jack"	University of Delaware	x					None
"Sharp, Paul"	ISIS Neutron and Muon Source	x				0000-0003-3072-6155	None
"Washington, Adam"	ISIS Neutron and Muon Source	x					None
"Wilkins, Lucas"	ISIS Neutron and Muon Source	x					None
"Wolf, Caitlyn"	National Institute of Standards and Technology	x				0000-0002-2956-7049	None
"Yaseen, Mohammed"	FileMap	x					None